time,open,high,low,close,Line,Squeeze
1733721180,99507,99507,99507,99507,10.271818181814954,1
1733721300,99435,99482,99435,99482,9.136363636360198,1
1733721420,99412,99412,99412,99412,-19.180000000003336,2
1733721480,99409,99409,99408,99408,-46.90818181818335,2
1733721600,99397,99397,99397,99397,-71.23818181818245,2
1733721720,99439,99439,99439,99439,-76.75181818181777,2
1733721780,99472,99472,99472,99472,-65.70818181817859,2
1733721900,99465,99472,99465,99472,-47.00999999999714,2
1733722080,99521,99521,99521,99521,-14.440909090905915,2
1733722140,99531,99541,99531,99541,31.840000000001027,2
1733722200,99526,99543,99524,99531,62.24636363636449,2
1733722260,99490,99490,99490,99490,72.09909090909244,2
1733722320,99483,99486,99483,99483,64.15272727272901,2
1733722380,99483,99483,99483,99483,50.100909090912054,2
1733722440,99476,99492,99476,99492,28.40000000000318,2
1733722500,99498,99498,99498,99498,9.74090909091332,2
1733722560,99497,99503,99460,99460,-16.33818181817928,2
1733722620,99512,99517,99512,99517,-20.871818181817602,2
1733722680,99485,99485,99485,99485,-26.934545454545095,2
1733722740,99494,99494,99494,99494,-20.543636363635198,2
1733722920,99472,99472,99467,99467,-18.24999999999894,1
1733723040,99548,99548,99548,99548,4.590909090908033,2
1733723100,99559,99559,99559,99559,25.288181818182718,2
1733723220,99531,99556,99531,99556,40.549090909090594,2
1733723280,99562,99574,99562,99574,55.83545454545636,2
1733723340,99586,99586,99586,99586,68.89545454545586,2
1733723400,99585,99585,99569,99569,62.80090909090967,2
1733723460,99540,99540,99532,99532,50.399090909090596,2
1733723520,99553,99570,99552,99570,44.44545454545376,2
1733723580,99569,99569,99569,99569,36.461818181818074,2
1733723640,99549,99549,99549,99549,9.384545454543769,1
1733723700,99564,99564,99564,99564,0.7454545454540238,1
1733723760,99496,99496,99496,99496,-23.858181818181507,2
1733723880,99488,99488,99488,99488,-44.86181818182045,2
1733723940,99459,99488,99459,99488,-54.238181818183776,2
1733724000,99487,99499,99487,99499,-51.774545454546356,2
1733724060,99474,99474,99474,99474,-54.919999999999575,2
1733724120,99460,99460,99458,99458,-65.26727272727216,2
1733724180,99507,99507,99507,99507,-47.65363636363763,2
1733724240,99469,99469,99469,99469,-39.866363636366444,2
1733724300,99483,99490,99460,99461,-37.77818181818399,2
1733724480,99342,99400,99334,99400,-33.88454545454614,1
1733724600,99350,99350,99350,99350,-53.20181818181723,2
1733724660,99337,99337,99311,99311,-79.43909090909266,2
1733724720,99307,99307,99307,99307,-98.05818181818469,2
1733724780,99322,99350,99322,99350,-92.61090909091291,2
1733724900,99325,99345,99321,99345,-88.34545454545481,2
1733724960,99347,99348,99340,99340,-85.54090909090857,2
1733725020,99384,99384,99384,99384,-53.53181818182004,2
1733725080,99300,99300,99300,99300,-53.54454545454567,2
1733725140,99321,99321,99278,99278,-46.9272727272722,1
1733725200,99250,99315,99250,99315,-22.67636363636278,1
1733725260,99334,99334,99268,99268,-23.95363636363261,1
1733725380,99189,99190,99154,99184,-50.80181818181643,2
1733725440,99202,99253,99202,99253,-52.23272727272811,2
1733725500,99165,99165,99152,99152,-79.0145454545463,2
1733725560,99147,99147,99130,99130,-103.94181818181718,2
1733725620,99088,99116,99088,99116,-122.0854545454537,2
1733725680,99108,99112,99085,99085,-126.74363636363786,2
1733725740,99048,99056,99036,99036,-147.6045454545481,2
1733725800,99038,99038,98985,98985,-169.63636363636493,2
1733725860,98987,99035,98987,99035,-153.04363636363652,2
1733725980,99098,99098,99094,99094,-109.22363636363535,2
1733726040,99043,99043,99040,99040,-94.01363636363664,2
1733726100,98938,98938,98904,98904,-92.90818181818494,2
1733726220,98961,98988,98961,98988,-70.53090909090929,2
1733726280,99162,99162,99162,99162,4.7272727272732595,2
1733726340,99166,99167,99166,99167,68.19727272727255,2
1733726400,99170,99170,99142,99142,107.83909090909262,2
1733726460,99112,99112,99111,99111,118.7854545454571,2
1733726520,99162,99162,99162,99162,128.2027272727298,2
1733726580,99180,99225,99180,99225,149.1954545454572,2
1733726640,99215,99215,99215,99215,168.60000000000133,2
1733726700,99234,99234,99229,99229,171.4781818181824,2
1733726820,99261,99261,99261,99261,146.09090909090617,2
1733726880,99304,99316,99302,99316,121.24636363636158,2
1733726940,99329,99330,99319,99319,118.78454545454137,2
1733727000,99311,99311,99311,99311,112.50363636363103,2
1733727120,99259,99259,99259,99259,82.6045454545436,2
1733727180,99207,99207,99199,99205,24.75454545454309,2
1733727300,99245,99245,99235,99235,-11.433636363637817,2
1733727360,99199,99199,99192,99192,-48.20181818182064,2
1733727420,99152,99152,99136,99138,-89.29000000000181,2
1733727540,99117,99117,99117,99117,-121.12272727272597,2
1733727600,99112,99112,99003,99031,-157.0354545454516,2
1733727660,99031,99060,99031,99060,-165.72181818181707,2
1733727720,99061,99061,99061,99061,-157.2890909090895,2
1733727780,99064,99082,99064,99082,-125.32181818181733,2
1733727840,99079,99111,99079,99105,-85.5445454545446,2
1733727900,99027,99049,98953,98953,-101.35090909090809,2
1733727960,98973,99001,98949,98964,-94.41909090908806,2
1733728020,98972,98972,98972,98972,-80.99454545454222,2
1733728080,98933,98933,98800,98800,-111.84545454545243,2
1733728140,98893,98894,98890,98890,-104.75999999999581,2
1733728200,98800,98800,98632,98633,-175.74090909090486,2
1733728260,98712,98746,98712,98746,-187.33727272727148,2
1733728320,98745,98745,98691,98691,-205.9881818181819,2
1733728380,98632,98632,98540,98561,-238.68090909090984,2
1733728440,98540,98594,98452,98594,-219.6254545454555,2
1733728500,98637,98637,98634,98634,-194.12272727272864,2
1733728560,98538,98538,98386,98434,-215.21636363636458,2
1733728620,98388,98535,98388,98535,-176.43818181818006,2
1733728680,98545,98549,98477,98477,-168.20999999999873,2
1733728740,98494,98521,98420,98431,-141.14727272727177,1
1733728800,98492,98518,98481,98518,-112.61909090909094,2
1733728860,98536,98654,98521,98653,-22.714545454543924,1
1733728920,98630,98643,98630,98633,48.538181818182466,1
1733728980,98696,98696,98696,98696,103.80272727272742,2
1733729040,98743,98798,98743,98792,176.6981818181841,2
1733729100,98811,98829,98811,98829,249.3400000000036,2
1733729160,98830,98834,98823,98834,268.30818181818654,2
1733729220,98842,98842,98786,98787,264.5609090909137,2
1733729280,98780,98780,98720,98733,217.15454545454813,2
1733729340,98764,98777,98737,98737,148.39636363636288,2
1733729400,98775,98840,98750,98830,113.37454545454449,2
1733729460,98808,98872,98808,98847,88.17181818181946,2
1733729520,98852,98859,98821,98857,58.43454545454378,2
1733729580,98834,98834,98803,98803,16.995454545453214,1
1733729640,98889,98919,98889,98919,29.27999999999801,2
1733729700,98895,98900,98868,98892,40.79818181818169,2
1733729760,98933,99071,98933,99070,101.71090909091,2
1733729820,99089,99089,99038,99051,136.5763636363657,2
1733729880,99048,99161,99046,99160,179.43090909090955,2
1733729940,99144,99198,99132,99198,209.36727272727003,2
1733730000,99191,99228,99191,99228,239.06818181817965,2
1733730060,99236,99394,99236,99387,288.76363636363556,2
1733730120,99424,99455,99350,99350,296.14090909090964,2
1733730180,99428,99435,99415,99435,294.2981818181828,2
1733730240,99439,99439,99439,99439,289.86090909090944,2
1733730300,99473,99505,99439,99439,251.97909090908968,2
1733730360,99465,99516,99465,99516,241.99636363636478,2
1733730420,99525,99561,99525,99561,225.80454545454916,2
1733730480,99561,99610,99561,99610,216.81727272727773,2
1733730540,99613,99657,99613,99657,208.0654545454557,2
1733730600,99641,99641,99601,99601,168.36818181818234,2
1733730660,99606,99705,99606,99705,168.1781818181837,2
1733730720,99705,99717,99705,99717,151.06818181818397,2
1733730780,99677,99683,99665,99665,121.88454545454692,2
1733730840,99665,99734,99665,99734,115.89636363636447,2
1733730900,99717,99742,99705,99742,99.67727272727379,2
1733730960,99748,99748,99704,99704,70.71272727272725,2
1733731020,99681,99682,99602,99602,13.020909090907423,2
1733731080,99620,99620,99603,99603,-33.52545454545523,2
1733731140,99613,99622,99613,99622,-57.73363636363803,2
1733731200,99614,99614,99582,99582,-96.57636363636652,2
1733731320,99524,99524,99479,99479,-137.1018181818199,2
1733731380,99470,99535,99470,99535,-141.70727272727208,2
1733731440,99585,99585,99560,99560,-137.05909090908827,2
1733731560,99522,99522,99466,99466,-142.6463636363613,2
1733731620,99422,99422,99422,99422,-142.90454545454227,2
1733731800,99459,99467,99440,99467,-116.19818181817722,2
1733731860,99471,99471,99458,99458,-100.62272727272331,2
1733731920,99438,99438,99389,99389,-104.03454545454244,2
1733731980,99436,99564,99436,99564,-38.85818181818178,2
1733732040,99598,99678,99598,99678,45.26454545454632,2
1733732100,99626,99647,99626,99645,88.58545454545526,2
1733732220,99595,99617,99584,99617,119.59818181818142,2
1733732400,99708,99708,99708,99708,173.6854545454555,2
1733732460,99671,99671,99671,99671,183.7645454545468,2
1733732580,99611,99611,99611,99611,152.92181818182075,2
1733732640,99666,99666,99666,99666,141.6427272727279,2
1733732700,99636,99677,99635,99677,123.89545454545429,2
1733732760,99560,99562,99560,99562,40.95545454545514,1
1733732820,99476,99477,99394,99410,-55.97909090909181,2
1733732880,99404,99407,99398,99407,-117.27090909090848,2
1733732940,99405,99405,99363,99372,-173.65454545454574,2
1733733000,99371,99371,99346,99346,-222.93545454545557,2
1733733060,99378,99379,99349,99349,-232.03000000000173,2
1733733120,99284,99285,99268,99268,-247.22181818181735,2
1733733180,99277,99290,99277,99290,-245.84363636363648,2
1733733240,99236,99236,99152,99152,-252.77999999999884,2
1733733300,99182,99239,99182,99239,-193.70181818181777,2
1733733360,99242,99242,99075,99086,-181.39818181818012,2
1733733420,99153,99153,99153,99153,-153.8245454545461,2
1733733480,99037,99040,99013,99040,-155.51909090909095,2
1733733540,99248,99309,99248,99309,-63.01545454545703,2
1733733600,99353,99451,99353,99451,53.587272727268555,2
1733733660,99586,99586,99586,99586,184.6054545454515,2
1733733720,99563,99563,99484,99497,247.13363636363675,2
1733733780,99457,99528,99450,99528,301.574545454544,2
1733733840,99545,99545,99459,99459,288.9545454545473,2
1733733900,99475,99516,99436,99516,297.5663636363656,2
1733733960,99504,99504,99389,99389,223.28181818182296,2
1733734020,99329,99329,99329,99329,131.56545454545915,2
1733734080,99340,99340,99337,99337,-2.6145454545423377,2
1733734140,99225,99225,99055,99055,-162.21090909090947,2
1733734260,99037,99048,98941,99048,-261.1963636363645,2
1733734320,99075,99150,99067,99150,-270.8699999999991,2
1733734380,99142,99142,99084,99084,-290.2572727272716,2
1733734440,99088,99088,99036,99036,-292.6709090909071,2
